timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-09,124.53,125.95,121.0,121.78,121.78,115089193,0.0000,1.0
2020-12-08,124.37,124.98,123.09,124.38,124.38,82225512,0.0000,1.0
2020-12-07,122.31,124.57,122.25,123.75,123.75,86711990,0.0000,1.0
2020-12-04,122.6,122.8608,121.52,122.25,122.25,78260421,0.0000,1.0
2020-12-03,123.52,123.78,122.21,122.94,122.94,78967630,0.0000,1.0
2020-12-02,122.02,123.37,120.89,123.08,123.08,89004195,0.0000,1.0
2020-12-01,121.01,123.4693,120.01,122.72,122.72,125920963,0.0000,1.0
2020-11-30,116.97,120.97,116.81,119.05,119.05,169410176,0.0000,1.0
2020-11-27,116.57,117.49,116.22,116.59,116.59,46691331,0.0000,1.0
2020-11-25,115.55,116.75,115.17,116.03,116.03,76499234,0.0000,1.0
2020-11-24,113.91,115.85,112.59,115.17,115.17,113226248,0.0000,1.0
2020-11-23,117.18,117.6202,113.75,113.85,113.85,127959318,0.0000,1.0
2020-11-20,118.64,118.77,117.29,117.34,117.34,73604287,0.0000,1.0
2020-11-19,117.59,119.06,116.81,118.64,118.64,74112972,0.0000,1.0
2020-11-18,118.61,119.82,118.0,118.03,118.03,76322111,0.0000,1.0
2020-11-17,119.55,120.6741,118.96,119.39,119.39,74270973,0.0000,1.0
2020-11-16,118.92,120.99,118.146,120.3,120.3,91183018,0.0000,1.0
2020-11-13,119.44,119.6717,117.87,119.26,119.26,81688586,0.0000,1.0
2020-11-12,119.62,120.53,118.57,119.21,119.21,103350674,0.0000,1.0
2020-11-11,117.19,119.63,116.44,119.49,119.49,112294954,0.0000,1.0
2020-11-10,115.55,117.59,114.13,115.97,115.97,138023390,0.0000,1.0
2020-11-09,120.5,121.99,116.05,116.32,116.32,154515315,0.0000,1.0
2020-11-06,118.32,119.2,116.13,118.69,118.69,114457922,0.2050,1.0
2020-11-05,117.95,119.62,116.8686,119.03,118.824767232,126387074,0.0000,1.0
2020-11-04,114.14,115.59,112.35,114.95,114.75180201,138235482,0.0000,1.0
2020-11-03,109.66,111.49,108.73,110.44,110.249578199,107624448,0.0000,1.0
2020-11-02,109.11,110.68,107.32,108.77,108.582457631,122866899,0.0000,1.0
2020-10-30,111.06,111.99,107.72,108.86,108.672302452,190573476,0.0000,1.0
2020-10-29,112.37,116.93,112.2,115.32,115.121164052,146129173,0.0000,1.0
2020-10-28,115.05,115.43,111.1,111.2,111.008267799,143937823,0.0000,1.0
2020-10-27,115.49,117.28,114.5399,116.6,116.398957063,92276772,0.0000,1.0
2020-10-26,114.01,116.55,112.88,115.05,114.851629589,111850657,0.0000,1.0
2020-10-23,116.39,116.55,114.28,115.04,114.841646831,82572645,0.0000,1.0
2020-10-22,117.45,118.04,114.59,115.75,115.550422642,101987954,0.0000,1.0
2020-10-21,116.67,118.705,116.45,116.87,116.668491526,89945980,0.0000,1.0
2020-10-20,116.2,118.98,115.63,117.51,117.307388031,124423728,0.0000,1.0
2020-10-19,119.96,120.419,115.66,115.98,115.780026073,120639337,0.0000,1.0
2020-10-16,121.28,121.548,118.81,119.02,118.814784474,115393808,0.0000,1.0
2020-10-15,118.72,121.2,118.15,120.71,120.501870558,112559219,0.0000,1.0
2020-10-14,121.0,123.03,119.62,121.19,120.981042937,151062308,0.0000,1.0
2020-10-13,125.27,125.39,119.65,121.1,120.891198116,262330451,0.0000,1.0
2020-10-12,120.06,125.18,119.2845,124.4,124.185508222,240226769,0.0000,1.0
2020-10-09,115.28,117.0,114.92,116.97,116.768319105,100506865,0.0000,1.0
2020-10-08,116.25,116.4,114.5901,114.97,114.771767526,83477153,0.0000,1.0
2020-10-07,114.62,115.55,114.13,115.08,114.881577863,96848985,0.0000,1.0
2020-10-06,115.7,116.12,112.25,113.16,112.964888347,161498212,0.0000,1.0
2020-10-05,113.91,116.65,113.55,116.5,116.299129484,106243839,0.0000,1.0
2020-10-02,112.89,115.37,112.22,113.02,112.825129736,144711986,0.0000,1.0
2020-10-01,117.64,117.72,115.83,116.79,116.588629463,116120440,0.0000,1.0
2020-09-30,113.79,117.26,113.62,115.81,115.610319189,142675184,0.0000,1.0
2020-09-29,114.55,115.31,113.57,114.09,113.893284831,100060526,0.0000,1.0
2020-09-28,115.01,115.32,112.78,114.96,114.761784768,137672403,0.0000,1.0
2020-09-25,108.43,112.44,107.67,112.28,112.086405652,149981441,0.0000,1.0
